code,brand,fund_id,name
304670,KODEX,304670,KODEX 미국30년국채울트라선물인버스(H)
304940,KODEX,304940,KODEX 미국나스닥100선물(H)
305050,ACE,K55101CC3048,ACE 코스피
305080,TIGER,305080,TIGER 미국채10년선물
305540,TIGER,305540,TIGER 2차전지테마
305720,KODEX,305720,KODEX 2차전지산업
307510,TIGER,307510,TIGER 의료기기
307520,TIGER,307520,TIGER 지주회사
308620,KODEX,308620,KODEX 미국10년국채선물
309230,ACE,K55101CF3110,ACE 미국WideMoat동일가중
310080,RISE,4492,RISE 중국MSCI China(H)
314250,KODEX,314250,KODEX 미국빅테크10(H)
315270,TIGER,315270,TIGER 200 커뮤니케이션서비스
315960,RISE,4494,RISE 대형고배당10TR
316300,ACE,K55101CG5254,ACE 싱가포르리츠
319640,TIGER,319640,TIGER 골드선물(H)
321410,KODEX,321410,KODEX 멀티에셋하이인컴(H)
325010,KODEX,325010,KODEX 성장주
325020,KODEX,325020,KODEX 배당가치
326230,RISE,4497,RISE 내수주플러스
326240,RISE,4496,RISE IT플러스
328370,PLUS,006327,PLUS 코스피TR
329200,TIGER,329200,TIGER 리츠부동산인프라
329650,KODEX,329650,KODEX TRF3070
329660,KODEX,329660,KODEX TRF5050
329670,KODEX,329670,KODEX TRF7030
329750,TIGER,329750,TIGER 미국달러단기채권액티브
332500,ACE,K55101CT6711,ACE 200TR
332610,PLUS,006328,PLUS 미국단기회사채(AAA~A)
332620,PLUS,006329,PLUS 미국장기우량회사채
334690,RISE,4498,RISE 팔라듐선물(H)
334700,RISE,4499,RISE 팔라듐선물인버스(H)
336160,RISE,4500,RISE 금융채액티브
337120,KODEX,337120,KODEX 멀티팩터
337140,KODEX,337140,KODEX 코스피대형주
337150,KODEX,337150,KODEX 200exTOP
337160,KODEX,337160,KODEX 200ESG
341850,TIGER,341850,TIGER 리츠부동산인프라채권
352540,KODEX,352540,KODEX 일본부동산리츠(H)
352560,KODEX,352560,KODEX 미국부동산리츠(H)
354240,RISE,44A4,RISE 미국고정배당우선증권
354500,ACE,K55101D41516,ACE 코스닥150
356540,ACE,K55101D34156,ACE 종합채권(AA-이상)액티브
357870,TIGER,357870,TIGER CD금리투자KIS(합성)
360140,KODEX,360140,KODEX 200롱 코스닥150숏선물
360200,ACE,K55101D78195,ACE 미국S&P500
360750,TIGER,360750,TIGER 미국S&P500
361580,RISE,44A5,RISE 200TR
363510,SOL,210811,SOL KIS단기통안채
363570,KODEX,363570,KODEX 장기종합채권(AA-이상) 액티브
364690,KODEX,364690,KODEX 혁신기술테마액티브
364960,TIGER,364960,TIGER BBIG
364970,TIGER,364970,TIGER 바이오TOP10
364980,TIGER,364980,TIGER 2차전지TOP10
364990,TIGER,364990,TIGER 게임TOP10
365000,TIGER,365000,TIGER 인터넷TOP10
365040,TIGER,365040,TIGER AI코리아그로스액티브
365780,ACE,K55101D95314,ACE 국고채10년
367380,ACE,K55101DB1182,ACE 미국나스닥100
367760,RISE,44A7,RISE 네트워크인프라
367770,RISE,44A8,RISE 수소경제테마
368590,RISE,44A9,RISE 미국나스닥100
368680,KODEX,368680,KODEX K-뉴딜디지털플러스
371150,RISE,44B1,RISE 차이나항셍테크
371160,TIGER,371160,TIGER 차이나항셍테크
371450,TIGER,371450,TIGER 글로벌클라우드컴퓨팅INDXX
371460,TIGER,371460,TIGER 차이나전기차 SOLACTIVE
371470,TIGER,371470,TIGER 차이나바이오테크 SOLACTIVE
371870,ACE,K55101DC5406,ACE 차이나항셍테크
372330,KODEX,372330,KODEX 차이나항셍테크
373490,KODEX,373490,KODEX 코리아혁신성장액티브
375270,RISE,44B2,RISE 글로벌데이터센터리츠(합성)
375770,KODEX,375770,KODEX 탄소효율그린뉴딜
376410,TIGER,376410,TIGER 탄소효율그린뉴딜
377990,TIGER,377990,TIGER Fn신재생에너지
379780,RISE,44B3,RISE 미국S&P500
379790,RISE,44B4,RISE 유로스탁스50(H)
379800,KODEX,379800,KODEX 미국S&P500
379810,KODEX,379810,KODEX 미국나스닥100
380340,ACE,K55101DH2341,ACE 코리아AI테크핵심산업
381170,TIGER,381170,TIGER 미국테크TOP10 INDXX
381180,TIGER,381180,TIGER 미국필라델피아반도체나스닥
385510,KODEX,385510,KODEX 신재생에너지액티브
385520,KODEX,385520,KODEX 자율주행액티브
385540,RISE,44B5,RISE 종합채권(A-이상)액티브
385550,RISE,44B6,RISE 단기채권알파액티브
385560,RISE,44B7,RISE KIS국고채30년Enhanced
385590,ACE,K55101DI3603,ACE ESG액티브
385600,ACE,K55101DH7878,ACE 2차전지&친환경차액티브
385710,TIME,17,TIME K이노베이션액티브
